Pin: U\n	{"Pref"={"Pin"="U"}}
Explanation: :\n	{"Pref"={"Explanation"=":"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
Package: J\n\nPin-Priority: 149\n\n# A\n\nPackage: *\n	{"Pref"={"Package"="J"}}{"Pref"={"Pin-Priority"="149"}}{"Pref"={"#comment"="A"}}{"Pref"={"Package"="*"}}
Explanation: \n\nPackage: *\n\nPin-Priority: 6\n\nPin: t\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin"="t"}}
# dW\n	{"Pref"={"#comment"="dW"}}
Package: z\n\nExplanation: C\n	{"Pref"={"Package"="z"}}{"Pref"={"Explanation"="C"}}
# i\n	{"Pref"={"#comment"="i"}}
Explanation: \n\nExplanation: ZN\n\nPin-Priority: 1\n\n# 0m\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="ZN"}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"#comment"="0m"}}
Pin: K\n	{"Pref"={"Pin"="K"}}
Pin-Priority: 6076\n	{"Pref"={"Pin-Priority"="6076"}}
Pin-Priority: 1\n\nPin-Priority: 5\n\nPackage: *\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Package"="*"}}
# \n\nPin-Priority: 0\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="0"}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
Pin: p2:\n	{"Pref"={"Pin"="p2:"}}
Pin: e\n	{"Pref"={"Pin"="e"}}
Explanation: n_\n	{"Pref"={"Explanation"="n_"}}
Explanation: s\n	{"Pref"={"Explanation"="s"}}
# \n\nExplanation: 1h\n\n# qndfs\n\n# \n\nPin-Priority: 3\n\nPin: y\n\nPin: n\n\nPin: \n\nExplanation: =vT\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="1h"}}{"Pref"={"#comment"="qndfs"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin"="y"}}{"Pref"={"Pin"="n"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="=vT"}}
Pin-Priority: 9\n\n# sq\n\nPin-Priority: 2597\n\n# \n\nPin: \n\nPackage: \n	{"Pref"={"Pin-Priority"="9"}}{"Pref"={"#comment"="sq"}}{"Pref"={"Pin-Priority"="2597"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}
# t\n	{"Pref"={"#comment"="t"}}
Package: *\n\nPin-Priority: 7\n\nPackage: \n\nPin-Priority: 95\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="95"}}
Pin: \n\nPin-Priority: 0346\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="0346"}}
# \n	{"Pref"={"#comment"=""}}
Pin-Priority: 97\n\nPackage: 'pQ\n	{"Pref"={"Pin-Priority"="97"}}{"Pref"={"Package"="'pQ"}}
Pin-Priority: 53\n	{"Pref"={"Pin-Priority"="53"}}
# \n\nPackage: *\n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Package: *\n\n# taEYp\n\nPin: 9v\n\nExplanation: Cl0\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="taEYp"}}{"Pref"={"Pin"="9v"}}{"Pref"={"Explanation"="Cl0"}}
Explanation: \n\nPin: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Pin-Priority: 3\n\nExplanation: \n\nPin: +GAnPNQ\n	{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="+GAnPNQ"}}
# \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
Package: OLV\n\nPin-Priority: 495\n	{"Pref"={"Package"="OLV"}}{"Pref"={"Pin-Priority"="495"}}
Explanation: C\n	{"Pref"={"Explanation"="C"}}
# \n\nPackage: e-c.\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="e-c."}}
Pin: e\n	{"Pref"={"Pin"="e"}}
Pin-Priority: 33\n\nExplanation: r\n	{"Pref"={"Pin-Priority"="33"}}{"Pref"={"Explanation"="r"}}
Pin-Priority: 8\n	{"Pref"={"Pin-Priority"="8"}}
Explanation: Pt\n	{"Pref"={"Explanation"="Pt"}}
Pin: U\n\n# v\n\nExplanation: J\n\nPin-Priority: 7\n\nExplanation: j\n	{"Pref"={"Pin"="U"}}{"Pref"={"#comment"="v"}}{"Pref"={"Explanation"="J"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Explanation"="j"}}
Explanation: -\n\nPin-Priority: 5\n	{"Pref"={"Explanation"="-"}}{"Pref"={"Pin-Priority"="5"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 52\n	{"Pref"={"Pin-Priority"="52"}}
Pin: q\n\nPin-Priority: 8\n	{"Pref"={"Pin"="q"}}{"Pref"={"Pin-Priority"="8"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 52\n\nPin-Priority: 7\n\nExplanation: n1"51nxWR\n\nPin: o8Klzkni\n	{"Pref"={"Pin-Priority"="52"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Explanation"="n1"51nxWR"}}{"Pref"={"Pin"="o8Klzkni"}}
Explanation: Sia\n	{"Pref"={"Explanation"="Sia"}}
Pin-Priority: 56\n	{"Pref"={"Pin-Priority"="56"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: Dem\n	{"Pref"={"Pin"="Dem"}}
# \n\nPin-Priority: 2\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="2"}}
# wIFv\n	{"Pref"={"#comment"="wIFv"}}
Pin: Q0\n\n# \n	{"Pref"={"Pin"="Q0"}}{"Pref"={"#comment"=""}}
Package: \n\n# 3eK40b\n\nPin: +Vp'+e\n\nPackage: *\n\nExplanation: YH0Ck3ln\n\nPackage: r\n\nExplanation: 41K\n\n# ry\n\nPackage: *\n	{"Pref"={"Package"=""}}{"Pref"={"#comment"="3eK40b"}}{"Pref"={"Pin"="+Vp'+e"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="YH0Ck3ln"}}{"Pref"={"Package"="r"}}{"Pref"={"Explanation"="41K"}}{"Pref"={"#comment"="ry"}}{"Pref"={"Package"="*"}}
# V\n\nPin-Priority: 20\n\nPin: EqI\n\n# 'S\n\nExplanation: BzFX\n	{"Pref"={"#comment"="V"}}{"Pref"={"Pin-Priority"="20"}}{"Pref"={"Pin"="EqI"}}{"Pref"={"#comment"="'S"}}{"Pref"={"Explanation"="BzFX"}}
Explanation: DTQmMdV\n\nPin: 1s:B_P r+5q\n	{"Pref"={"Explanation"="DTQmMdV"}}{"Pref"={"Pin"="1s:B_P r+5q"}}
Pin: r\n\nPackage: C_\n	{"Pref"={"Pin"="r"}}{"Pref"={"Package"="C_"}}
Package: 0f +AHS\n	{"Pref"={"Package"="0f +AHS"}}
Pin-Priority: 5\n\n# \n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"#comment"=""}}
Pin-Priority: 78607\n\nPackage: muTQ\n\nPackage: \n	{"Pref"={"Pin-Priority"="78607"}}{"Pref"={"Package"="muTQ"}}{"Pref"={"Package"=""}}
Package: *\n\n# Y=WoT\n\nPin-Priority: 8\n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="Y=WoT"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Explanation"=""}}
Explanation: G-:\n	{"Pref"={"Explanation"="G-:"}}
Pin-Priority: 03\n	{"Pref"={"Pin-Priority"="03"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: R vWM\n\n# \n	{"Pref"={"Pin"="R vWM"}}{"Pref"={"#comment"=""}}
Package: -T9\n	{"Pref"={"Package"="-T9"}}
Explanation: 63\n\nExplanation: \n\nExplanation: y\n\n# \n\nExplanation: \n	{"Pref"={"Explanation"="63"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="y"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}
Package: \n\nPin: b'BY/4\n\nPin: 60j'\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="b'BY/4"}}{"Pref"={"Pin"="60j'"}}
Pin: /HX\n\nPin-Priority: 214\n	{"Pref"={"Pin"="/HX"}}{"Pref"={"Pin-Priority"="214"}}
Pin-Priority: 9\n\nPin-Priority: 44\n	{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Pin-Priority"="44"}}
Explanation: x\n\nPin-Priority: 0\n\nPin: x\n\nPin: \n\nExplanation: \n	{"Pref"={"Explanation"="x"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"="x"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
# \n\nExplanation: y1AV\n\nExplanation: \n\nPin-Priority: 01\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="y1AV"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="01"}}
# \n	{"Pref"={"#comment"=""}}
# jqu/\n\nPackage: *\n\n# 7T\n\nExplanation: 6r_zR\n\nPin-Priority: 4\n\nExplanation: \n	{"Pref"={"#comment"="jqu/"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="7T"}}{"Pref"={"Explanation"="6r_zR"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Explanation"=""}}
Pin: gq\n\nPackage: *\n	{"Pref"={"Pin"="gq"}}{"Pref"={"Package"="*"}}
# o\n\n# wy:T8\n\nPin: \n	{"Pref"={"#comment"="o"}}{"Pref"={"#comment"="wy:T8"}}{"Pref"={"Pin"=""}}
Pin: e\n\nPin: -\n\nExplanation: \n\nPin-Priority: 676537\n	{"Pref"={"Pin"="e"}}{"Pref"={"Pin"="-"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="676537"}}
Package: a\n\nPackage: \n\n# ms\n	{"Pref"={"Package"="a"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="ms"}}
Package: \n	{"Pref"={"Package"=""}}
# \n	{"Pref"={"#comment"=""}}
Pin-Priority: 971\n	{"Pref"={"Pin-Priority"="971"}}
Package: *\n\n# F\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="F"}}
Explanation: c_ori\n\nPin: 8\n	{"Pref"={"Explanation"="c_ori"}}{"Pref"={"Pin"="8"}}
Pin-Priority: 532\n\nExplanation: U\n\nPin: 7\n	{"Pref"={"Pin-Priority"="532"}}{"Pref"={"Explanation"="U"}}{"Pref"={"Pin"="7"}}
# \n	{"Pref"={"#comment"=""}}
Package: JA\n	{"Pref"={"Package"="JA"}}
Pin-Priority: 7\n\n# J\n\n# \n\nExplanation: cRCYf7-\n\nPackage: x\n	{"Pref"={"Pin-Priority"="7"}}{"Pref"={"#comment"="J"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="cRCYf7-"}}{"Pref"={"Package"="x"}}
Pin: \n\n# 2"+7\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="2\"+7"}}
Explanation: \n\n# we\n\nPin-Priority: 4\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="we"}}{"Pref"={"Pin-Priority"="4"}}
Explanation: 2w\n	{"Pref"={"Explanation"="2w"}}
Pin-Priority: 0244\n	{"Pref"={"Pin-Priority"="0244"}}
Package: *\n\nPin: 79u\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="79u"}}
Pin: =\n	{"Pref"={"Pin"="="}}
# \n\nPin: SlMQ\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"="SlMQ"}}
Pin: 3\n\nPackage: +ip\n	{"Pref"={"Pin"="3"}}{"Pref"={"Package"="+ip"}}
Package: \n	{"Pref"={"Package"=""}}
# \n	{"Pref"={"#comment"=""}}
Package: m4A6tOPT\n	{"Pref"={"Package"="m4A6tOPT"}}
