3071112/112223611123131/1254	112223611123131/3071112/1254
8111111111112/11234123711222222222222222223931/1004	11234123711222222222222222223931/8111111111112/1004
286111111111112/111111122223111232123711222234111233111111223331/4568	111111122223111232123711222234111233111111223331/286111111111112/4568
71111111111111112/1222230111223912311223912223431/4940	1222230111223912311223912223431/71111111111111112/4940
3211111112/123931/2794	123931/3211111112/2794
6711111112/112223511123431/7425	112223511123431/6711111112/7425
8874111112/12223911236123931/8326	12223911236123931/8874111112/8326
004104211111111111112/1122223311111112222391112223131/6664	1122223311111112222391112223131/004104211111111111112/6664
21112/1111222223731/8413	1111222223731/21112/8413
0111112/1112223231/8974	1112223231/0111112/8974
17170911111112/122222361123812233112239111122311112381111223331/5615	122222361123812233112239111122311112381111223331/17170911111112/5615
251112/122239123631/6141	122239123631/251112/6141
1756271112/111123731/4299	111123731/1756271112/4299
768304161112/12301223531/2776	12301223531/768304161112/2776
9701112/1111223411112223831/8967	1111223411112223831/9701112/8967
581111111112/12223331/0707	12223331/581111111112/0707
2611111112/11111122371123331/1998	11111122371123331/2611111112/1998
067511111112/1112222222381122223931/1806	1112222222381122223931/067511111112/1806
84697711111111111112/123331/3629	123331/84697711111111111112/3629
02551112/11112381222391122222230123831/8801	11112381222391122222230123831/02551112/8801
4711111111111112/1123331/4195	1123331/4711111111111112/4195
459751112/12223931/9640	12223931/459751112/9640
8111112/112222230112371233111223711122231112331111238111112223631/4528	112222230112371233111223711122231112331111238111112223631/8111112/4528
61111111112/12223611122222223331/8361	12223611122222223331/61111111112/8361
3171112/12381122381223711222331223131/6170	12381122381223711222331223131/3171112/6170
111111112/1123811233122381112239111223331/4878	1123811233122381112239111223331/111111112/4878
7111112/11123831/8574	11123831/7111112/8574
511111111112/111111111111222222223631/8130	111111111111222222223631/511111111112/8130
1451112/123931/7598	123931/1451112/7598
7111112/1123131/7402	1123131/7111112/7402
41112/12381123031/9682	12381123031/41112/9682
51112/1223811112351123931/8438	1223811112351123931/51112/8438
90111112/1223611122223131/1768	1223611122223131/90111112/1768
61112/1111222223031/0025	1111222223031/61112/0025
594111111111112/11222234123611112222351123231/9551	11222234123611112222351123231/594111111111112/9551
911111112/12222222222234123512223011123531/8076	12222222222234123512223011123531/911111112/8076
011111112/11222223231/6100	11222223231/011111112/6100
3111111111111111112/1123131/6744	1123131/3111111111111111112/6744
871511111112/122235111122222341222351123231/7894	122235111122222341222351123231/871511111112/7894
41112/1111122331123212371122222301122351122223531/9850	1111122331123212371122222301122351122223531/41112/9850
611112/1122223931/7797	1122223931/611112/7797
7311111112/112301111222222223212222222223731/0260	112301111222222223212222222223731/7311111112/0260
3111111111112/1123731/2233	1123731/3111111111112/2233
81111111112/12331123031/3524	12331123031/81111111112/3524
4237111112/1112222237112301112222235123131/8634	1112222237112301112222235123131/4237111112/8634
9251111111111112/123131/6442	123131/9251111111111112/6442
61112/111122331223931/6300	111122331223931/61112/6300
921112/122223831/0746	122223831/921112/0746
311111112/111223631/7411	111223631/311111112/7411
13911111112/111223731/7229	111223731/13911111112/7229
311112/1112223531/8254	1112223531/311112/8254
9211111111111112/123631/8482	123631/9211111111111112/8482
711111112/122222223311238111123931/3047	122222223311238111123931/711111112/3047
892544111112/123331/0286	123331/892544111112/0286
5919111112/123931/9598	123931/5919111112/9598
011111112/122223931/7481	122223931/011111112/7481
711111112/11223331/8988	11223331/711111112/8988
9751111111112/1223811111122223231/0244	1223811111122223231/9751111111112/0244
691112/12223331/6219	12223331/691112/6219
563111112/123331/9864	123331/563111112/9864
4111112/1111238123331/9346	1111238123331/4111112/9346
21112/123631/1006	123631/21112/1006
5887750351112/1237111123811112223012239123911222361111222222239123511111123711112238111222222223412391112222223411111223912341122222222222234112223931/8694	1237111123811112223012239123911222361111222222239123511111123711112238111222222223412391112222223411111223912341122222222222234112223931/5887750351112/8694
0111112/111123911235122351123811111111223912223711123612391111112321122223731/4180	111123911235122351123811111111223912223711123612391111112321122223731/0111112/4180
11112/123331/7427	123331/11112/7427
051112/11222223431/9886	11222223431/051112/9886
71112/111111111111122222391223831/9432	111111111111122222391223831/71112/9432
091112/111112223731/6413	111112223731/091112/6413
71112/111123131/7309	111123131/71112/7309
683111112/123611123231/2372	123611123231/683111112/2372
6458801111111112/11222223831/9588	11222223831/6458801111111112/9588
71112/112223631/9467	112223631/71112/9467
111111111111112/123131/1820	123131/111111111111112/1820
11651111111112/11122391111123112223431/8920	11122391111123112223431/11651111111112/8920
0511112/1112223911223912351111111123231/5596	1112223911223912351111111123231/0511112/5596
081111111112/111235112321223031/9285	111235112321223031/081111111112/9285
16001112/11123531/5253	11123531/16001112/5253
811111112/1223331/5954	1223331/811111112/5954
4111112/1122222232111112223431/5600	1122222232111112223431/4111112/5600
1839814325111112/1123531/3587	1123531/1839814325111112/3587
111111112/11122361111123631/4538	11122361111123631/111111112/4538
211111111111112/1222235112222301122222321236112222391111122223031/6089	1222235112222301122222321236112222391111122223031/211111111111112/6089
5111112/1123631/1099	1123631/5111112/1099
3871112/11223131/5151	11223131/3871112/5151
7111112/12223531/7111	12223531/7111112/7111
01112/111122351112231111223231/0818	111122351112231111223231/01112/0818
51112/11223711112223531/6244	11223711112223531/51112/6244
95569485011111112/1111111237123112239122222239122391112351222371123111123012231111112222222237123931/5737	1111111237123112239122222239122391112351222371123111123012231111112222222237123931/95569485011111112/5737
8311111112/11123831/5927	11123831/8311111112/5927
2111112/1223011122331122391111222223831/8705	1223011122331122391111222223831/2111112/8705
1811111112/111123311222223331/2753	111123311222223331/1811111112/2753
29111112/1222321111236123831/5024	1222321111236123831/29111112/5024
64111111111112/11123631/2921	11123631/64111111111112/2921
71112/11112223131/0989	11112223131/71112/0989
20531112/12223631/5504	12223631/20531112/5504
0211111112/112222222223831/8785	112222222223831/0211111112/8785
511111111112/111123111123431/3744	111123111123431/511111111112/3744
941112/1223731/8872	1223731/941112/8872
11112/122371223631/5370	122371223631/11112/5370
77111112/111122301111223731/5552	111122301111223731/77111112/5552
4529391111111112/122222235111111111111123712341122222223231/1466	122222235111111111111123712341122222223231/4529391111111112/1466
711111112/1122223711111239111222341111223231/9119	1122223711111239111222341111223231/711111112/9119
26091112/112223311123112223631/5890	112223311123112223631/26091112/5890
2111112/1123431/6577	1123431/2111112/6577
54586111112/111123031/3788	111123031/54586111112/3788
361111111112/1223711122371111235122311223931/6418	1223711122371111235122311223931/361111111112/6418
51112/1222311112235122232123712351223231/1124	1222311112235122232123712351223231/51112/1124
4366111112/11112321223311123831/8373	11112321223311123831/4366111112/8373
341112/111222222222222311223531/6400	111222222222222311223531/341112/6400
61112/1112223831/1235	1112223831/61112/1235
8031112/1123231/9387	1123231/8031112/9387
178111112/12321122222222223531/2838	12321122222222223531/178111112/2838
428101112/11112223031/2772	11112223031/428101112/2772
601111111112/12311222222222222391111123312321233111222222311123731/1725	12311222222222222391111123312321233111222222311123731/601111111112/1725
41112/112232123611223931/0526	112232123611223931/41112/0526
265146194111112/1123631/1931	1123631/265146194111112/1931
52111112/123011223412223531/0874	123011223412223531/52111112/0874
41112/11222223531/5382	11222223531/41112/5382
38111112/11223731/2786	11223731/38111112/2786
3611111111111112/111122223831/7661	111122223831/3611111111111112/7661
11112/1123431/5143	1123431/11112/5143
41111111112/123412222222223312232111122222223131/8672	123412222222223312232111122222223131/41111111112/8672
91541111111111111112/12341111123611112311223312223931/1080	12341111123611112311223312223931/91541111111111111112/1080
9373111112/11123031/1402	11123031/9373111112/1402
93711111112/1122301111112361233112223211112391111223631/2941	1122301111112361233112223211112391111223631/93711111112/2941
7765141112/1111111223911111112371111111112236123931/6295	1111111223911111112371111111112236123931/7765141112/6295
9022219161111111112/1122222311123031/9616	1122222311123031/9022219161111111112/9616
9591112/11223611223811123531/0678	11223611223811123531/9591112/0678
41111111112/11222233112231123931/0262	11222233112231123931/41111111112/0262
6111112/122331111112391111235122222321111122223531/4857	122331111112391111235122222321111122223531/6111112/4857
80111111112/11122222331123631/1444	11122222331123631/80111111112/1444
5111112/1223831/2001	1223831/5111112/2001
4541112/123131/5855	123131/4541112/5855
95248111112/12331112222223131/4601	12331112222223131/95248111112/4601
3111112/1111123831/2283	1111123831/3111112/2283
47811111111111112/12223631/7406	12223631/47811111111111112/7406
361112/1111111122223631/3627	1111111122223631/361112/3627
411111112/1111223731/4568	1111223731/411111112/4568
781112/11112238111222222222222223331/5672	11112238111222222222222223331/781112/5672
521112/111223811237112222371123211222223411223031/9315	111223811237112222371123211222223411223031/521112/9315
31112/122321123012223831/6470	122321123012223831/31112/6470
81112/122223512222232111223412223211123731/8290	122223512222232111223412223211123731/81112/8290
8143160211111112/1223531/5115	1223531/8143160211111112/5115
17541112/1111223811223931/2558	1111223811223931/17541112/2558
3863111111111112/123031/6407	123031/3863111111111112/6407
10080411111112/112222222351122223611237111223831/8736	112222222351122223611237111223831/10080411111112/8736
0111112/11111112222233111111111123631/7334	11111112222233111111111123631/0111112/7334
211111112/123131/3666	123131/211111112/3666
0211111112/1222223931/8791	1222223931/0211111112/8791
6661112/1222222223931/2195	1222222223931/6661112/2195
921112/1232123731/0975	1232123731/921112/0975
455811111112/112223731/0047	112223731/455811111112/0047
31112/11112222223631/1837	11112222223631/31112/1837
1111111111111112/112223812222222223311123711239123711223931/0289	112223812222222223311123711239123711223931/1111111111111112/0289
861112/1223531/9945	1223531/861112/9945
6111112/11235111222222235111235123311123631/3754	11235111222222235111235123311123631/6111112/3754
01112/1111223812331123231/1206	1111223812331123231/01112/1206
81112/1222222311112223831/7832	1222222311112223831/81112/7832
3111112/111112235111223831/0938	111112235111223831/3111112/0938
52111112/1111111111223931/9572	1111111111223931/52111112/9572
27111112/11112223831/1421	11112223831/27111112/1421
83281111111112/1112331111123431/4066	1112331111123431/83281111111112/4066
2813133111111111112/1122230123511122371111123531/1419	1122230123511122371111123531/2813133111111111112/1419
11112/1111112222222222223231/1351	1111112222222222223231/11112/1351
951112/1122238112222223411223331/7693	1122238112222223411223331/951112/7693
71112/1111223631/1485	1111223631/71112/1485
690111111111112/1223531/9399	1223531/690111111111112/9399
5811111111112/123631/5354	123631/5811111111112/5354
00351112/12361234123931/5486	12361234123931/00351112/5486
52111112/11111123311111122236122222351122381111122222223631/1994	11111123311111122236122222351122381111122222223631/52111112/1994
191111111112/12237122223031/2599	12237122223031/191111111112/2599
2111112/122232111222331111222236122371111232122236123412341111111222222223331/0412	122232111222331111222236122371111232122236123412341111111222222223331/2111112/0412
81112/111111123831/1567	111111123831/81112/1567
431112/11223731/5575	11223731/431112/5575
7811111112/122222222223631/9300	122222222223631/7811111112/9300
474401112/11122223131/7844	11122223131/474401112/7844
5111112/11223712321111111111111223931/0800	11223712321111111111111223931/5111112/0800
81112/1122341112238122239112234111223531/3539	1122341112238122239112234111223531/81112/3539
81112/12223411223831/6878	12223411223831/81112/6878
711211111112/122222222239112230111111122223731/3862	122222222239112230111111122223731/711211111112/3862
4811111112/11123631/5383	11123631/4811111112/5383
9171112/112222341223231/5863	112222341223231/9171112/5863
155658111112/123431/1942	123431/155658111112/1942
31112/12237112233111222222230111122233111234111123231/3385	12237112233111222222230111122233111234111123231/31112/3385
7577531112/12231123231/4857	12231123231/7577531112/4857
699111112/1123231/6624	1123231/699111112/6624
0006111112/1223831/8014	1223831/0006111112/8014
421112/1123212391123331/4157	1123212391123331/421112/4157
41112/1231112341111112222223411123131/2779	1231112341111112222223411123131/41112/2779
111111111111111111112/1223831/2584	1223831/111111111111111111112/2584
42111112/123431/7712	123431/42111112/7712
5711111112/11111223231/7264	11111223231/5711111112/7264
4911111112/1123431/0621	1123431/4911111112/0621
871111111112/1123031/2611	1123031/871111111112/2611
8151112/11123911111123531/1328	11123911111123531/8151112/1328
4100011111111112/1232123931/3453	1232123931/4100011111111112/3453
3111112/112223731/8070	112223731/3111112/8070
111111112/1222223931/7375	1222223931/111111112/7375
421112/11223631/0689	11223631/421112/0689
68111112/1223012361122223431/8862	1223012361122223431/68111112/8862
5111112/1111223031/7669	1111223031/5111112/7669
01112/1122223211223211122223131/2658	1122223211223211122223131/01112/2658
431112/112223531/9065	112223531/431112/9065
8151111111111111112/11222341231111222301223831/3440	11222341231111222301223831/8151111111111111112/3440
9111112/11122223031/6326	11122223031/9111112/6326
8111112/11123131/1689	11123131/8111112/1689
1363041111111112/11112236123811111123231/1427	11112236123811111123231/1363041111111112/1427
6604103366111112/11123731/5773	11123731/6604103366111112/5773
0111112/1122223831/5977	1122223831/0111112/5977
53111112/1122361231123631/1536	1122361231123631/53111112/1536
311111112/1123931/9845	1123931/311111112/9845
01112/1122223831/8029	1122223831/01112/8029
961112/1223112223431/1027	1223112223431/961112/1027
348761112/1123031/7897	1123031/348761112/7897
4111112/11111111123812223731/6025	11111111123812223731/4111112/6025
1504111112/1112223011112223431/9052	1112223011112223431/1504111112/9052
51611111112/112222381111122223711111111237111111111222223831/9066	112222381111122223711111111237111111111222223831/51611111112/9066
811111112/123631/0936	123631/811111112/0936
104201111111111111111111112/111112222222301235111223711223231/3291	111112222222301235111223711223231/104201111111111111111111112/3291
81112/112223831/5778	112223831/81112/5778
3111112/122391123231/0216	122391123231/3111112/0216
9111112/1111223731/4944	1111223731/9111112/4944
411111111111112/1111111111123611112331122331123011122222230123931/9111	1111111111123611112331122331123011122222230123931/411111111111112/9111
411111112/11111237112223531/5478	11111237112223531/411111112/5478
8611111111111112/1222223431/9201	1222223431/8611111111111112/9201
8031112/11222351111111236112235123931/3957	11222351111111236112235123931/8031112/3957
411111111111112/1112391222223631/3900	1112391222223631/411111111111112/3900
071111111112/111111123331/7130	111111123331/071111111112/7130
96111112/1111122236111223711223111230111222222223312222230122223931/7177	1111122236111223711223111230111222222223312222230122223931/96111112/7177
8111112/12341111123111122222223531/2281	12341111123111122222223531/8111112/2281
7111112/111122222223631/2194	111122222223631/7111112/2194
7111112/1123712231112222222238112223931/3464	1123712231112222222238112223931/7111112/3464
51111112/1223811112222237111122233112222222223131/7977	1223811112222237111122233112222222223131/51111112/7977
4441601111111112/12321239111123911235122223011122222231111112223431/3198	12321239111123911235122223011122222231111112223431/4441601111111112/3198
517111112/1122238122371223131/7188	1122238122371223131/517111112/7188
81112/11111112233111112222235112341222223231/4122	11111112233111112222235112341222223231/81112/4122
269741112/1123831/5080	1123831/269741112/5080
711111112/1112233111233112223731/5331	1112233111233112223731/711111112/5331
811111111111111111112/123531/5704	123531/811111111111111111112/5704
98931112/111111112223831/0102	111111112223831/98931112/0102
9541112/123912222341123112236122361122371123031/9052	123912222341123112236122361122371123031/9541112/9052
81111111112/1222351223531/2156	1222351223531/81111111112/2156
874285111112/1111122223431/1077	1111122223431/874285111112/1077
048711111112/123431/9266	123431/048711111112/9266
292572967221112/123731/2012	123731/292572967221112/2012
611111112/1222232123711223112331111222230111112238111111112230112222223231/7888	1222232123711223112331111222230111112238111111112230112222223231/611111112/7888
373571711111112/12222223831/3163	12222223831/373571711111112/3163
4223111112/11222321122223112231123531/8203	11222321122223112231123531/4223111112/8203
51112/1123431/5058	1123431/51112/5058
09724111112/1111111111122391111235123631/1234	1111111111122391111235123631/09724111112/1234
161112/1111111111122331223531/9751	1111111111122331223531/161112/9751
935111111111112/11123131/3400	11123131/935111111111112/3400
93111112/1233111111236112223812237123031/7842	1233111111236112223812237123031/93111112/7842
111111112/12238123412239123231/2645	12238123412239123231/111111112/2645
2631111112/11232122223731/3126	11232122223731/2631111112/3126
54111112/1123411122222391222222223631/0240	1123411122222391222222223631/54111112/0240
80111112/111222235111111123631/6219	111222235111111123631/80111112/6219
91112/1112222391123612223631/3896	1112222391123612223631/91112/3896
01112/1234112341111222237123031/2894	1234112341111222237123031/01112/2894
91112/123412239122381123711222222301223831/3016	123412239122381123711222222301223831/91112/3016
5331112/111111222223731/3428	111111222223731/5331112/3428
41112/11222232111111112222233112222222233112222232112232111238111233122223731/8547	11222232111111112222233112222222233112222232112232111238111233122223731/41112/8547
721112/1122222222391111111122321112331111223331/0957	1122222222391111111122321112331111223331/721112/0957
881112/11122311111111112237111222222223211222234123931/7750	11122311111111112237111222222223211222234123931/881112/7750
661111111112/123611237111111123612222223931/8771	123611237111111123612222223931/661111111112/8771
3111112/1222236123411112237123231/8799	1222236123411112237123231/3111112/8799
22611112/1112361222351112311122341223531/4113	1112361222351112311122341223531/22611112/4113
9111112/122230111123711111123931/0751	122230111123711111123931/9111112/0751
3989051112/1122223331/1071	1122223331/3989051112/1071
994111111111111111112/1223631/1012	1223631/994111111111111111112/1012
534053111112/112341223431/6924	112341223431/534053111112/6924
11112/111111222222232123831/6458	111111222222232123831/11112/6458
32468449111112/111123931/2178	111123931/32468449111112/2178
111111112/111123431/0102	111123431/111111112/0102
7711111112/1222222223012381112236112223112223431/2145	1222222223012381112236112223112223431/7711111112/2145
11111112/11223831/8027	11223831/11111112/8027
74973111112/11222222222233111122301122361112223231/8584	11222222222233111122301122361112223231/74973111112/8584
71112/1111111111122331123211111111112223411223531/7254	1111111111122331123211111111112223411223531/71112/7254
57111111111112/112222223712331122381112351123331/4995	112222223712331122381112351123331/57111111111112/4995
2111112/11222331111223511222222223031/2458	11222331111223511222222223031/2111112/2458
094041112/12222361122222222223831/5859	12222361122222222223831/094041112/5859
7451112/111222331123131/2659	111222331123131/7451112/2659
194911111112/1122341111223911122222239112331123111123431/8053	1122341111223911122222239112331123111123431/194911111112/8053
3101112/122223431/7081	122223431/3101112/7081
02011111112/1111112239123331/6905	1111112239123331/02011111112/6905
5111112/123412311111111222223231/1732	123412311111111222223231/5111112/1732
247291111111112/11122230111111123731/9435	11122230111111123731/247291111111112/9435
521111111112/1123211111112232111122230111111234122223211123431/2320	1123211111112232111122230111111234122223211123431/521111111112/2320
7131112/111123911112238111123531/3494	111123911112238111123531/7131112/3494
6111111111112/1234123231/7703	1234123231/6111111111112/7703
52511111112/1122222321236112222222222232112223711112222381223812222311123231/0812	1122222321236112222222222232112223711112222381223812222311123231/52511111112/0812
8111112/1111223131/8047	1111223131/8111112/8047
71112/112331111111111111111111111223431/7878	112331111111111111111111111223431/71112/7878
81112/11122239112222381112341239123512223712223511123631/9677	11122239112222381112341239123512223712223511123631/81112/9677
21111111111112/11123031/7491	11123031/21111111111112/7491
527111111111112/1111222223912223231/3462	1111222223912223231/527111111111112/3462
0521112/1123131/1261	1123131/0521112/1261
61111111112/122222301111111233112223931/7827	122222301111111233112223931/61111111112/7827
4111112/12301112222222223711112237123531/8225	12301112222222223711112237123531/4111112/8225
21112/1112222238122301223131/4673	1112222238122301223131/21112/4673
870191112/11123911223431/2619	11123911223431/870191112/2619
05111112/1122238123731/3893	1122238123731/05111112/3893
24924421112/1122239111123111123331/3629	1122239111123111123331/24924421112/3629
0041111111112/122223231/6178	122223231/0041111111112/6178
096011111112/1112223031/6562	1112223031/096011111112/6562
8111112/1222222301222231111223331/9915	1222222301222231111223331/8111112/9915
281112/122222223431/7716	122222223431/281112/7716
114111112/1112232111222223111223212223931/3419	1112232111222223111223212223931/114111112/3419
8311111112/1112223411112230122341111122222222223331/8255	1112223411112230122341111122222222223331/8311111112/8255
111111112/1111232111223631/7395	1111232111223631/111111112/7395
211111111111112/11230111222223531/0125	11230111222223531/211111111111112/0125
8411111112/12223731/8430	12223731/8411111112/8430
7111112/1111123931/4151	1111123931/7111112/4151
601112/1222361111111111122223411111223711123512222341239112223031/5339	1222361111111111122223411111223711123512222341239112223031/601112/5339
84111112/1112222351112223311111112223631/5144	1112222351112223311111112223631/84111112/5144
51411111112/11111123412222223811112223931/0494	11111123412222223811112223931/51411111112/0494
8093331111111112/1223511123531/1229	1223511123531/8093331111111112/1229
76111111111112/11123911239122222311222223431/5212	11123911239122222311222223431/76111111111112/5212
71112/111111123231/9792	111111123231/71112/9792
311111112/1223112223831/5129	1223112223831/311111112/5129
92111112/123731/0423	123731/92111112/0423
5111111111111111112/1222311123531/5020	1222311123531/5111111111111111112/5020
8881112/122222311111111223531/4522	122222311111111223531/8881112/4522
825111112/11231111111111223012231111112223731/5887	11231111111111223012231111112223731/825111112/5887
8069811112/11112222331111111112233111123811223731/2770	11112222331111111112233111123811223731/8069811112/2770
37204077521112/1122223331/7242	1122223331/37204077521112/7242
281112/111223431/4194	111223431/281112/4194
75623211111112/1231111111230123711222223231/6491	1231111111230123711222223231/75623211111112/6491
1335111112/111223711223012222223731/6643	111223711223012222223731/1335111112/6643
411111112/1239111223131/6569	1239111223131/411111112/6569
5111112/1122331111112239111111123731/3868	1122331111112239111111123731/5111112/3868
717111112/1222222371111222223431/0935	1222222371111222223431/717111112/0935
831112/1123331/9029	1123331/831112/9029
8911111112/112371223331/9683	112371223331/8911111112/9683
011111112/111123011222223131/6963	111123011222223131/011111112/6963
27111112/111123112232123131/8187	111123112232123131/27111112/8187
41112/11236111123212321123131/1895	11236111123212321123131/41112/1895
158251111111112/11112222222223031/0458	11112222222223031/158251111111112/0458
1061112/11112222341123711235122222222222331112371223711123331/8426	11112222341123711235122222222222331112371223711123331/1061112/8426
562577011111112/11122223411222341123931/7205	11122223411222341123931/562577011111112/7205
8111112/1222223531/5636	1222223531/8111112/5636
8851112/1223112301122222223231/6776	1223112301122222223231/8851112/6776
84111112/111222222381223231/9562	111222222381223231/84111112/9562
41112/1123912223431/0282	1123912223431/41112/0282
5122111111111112/1111112371122222223511111222331223231/0275	1111112371122222223511111222331223231/5122111111111112/0275
7111111111111111112/1112235122331222321111223012223031/0408	1112235122331222321111223012223031/7111111111111111112/0408
51384411111111111112/12239122331231122311122223131/6518	12239122331231122311122223131/51384411111111111112/6518
6559891112/11111123331/3802	11111123331/6559891112/3802
3811111112/1111230122223231/1846	1111230122223231/3811111112/1846
31111111112/1223012223331/4959	1223012223331/31111111112/4959
96111112/11123831/8503	11123831/96111112/8503
22911111112/1112222311222223531/1302	1112222311222223531/22911111112/1302
332111111111112/111112234112361112223211122361112236123012223731/1528	111112234112361112223211122361112236123012223731/332111111111112/1528
5111112/111111222236111112341122381222223931/8779	111111222236111112341122381222223931/5111112/8779
636111112/11112391112351122223331/5171	11112391112351122223331/636111112/5171
911111111112/1230122223612222341232123431/5698	1230122223612222341232123431/911111111112/5698
430183111111111111111112/1111112230111223611222351112371223031/3179	1111112230111223611222351112371223031/430183111111111111111112/3179
51112/111222381123831/4335	111222381123831/51112/4335
91112/11122222351122222321223231/8881	11122222351122222321223231/91112/8881
41111111111111112/1223231/6608	1223231/41111111111111112/6608
6111112/112311112311111122331223512222223912301123931/0519	112311112311111122331223512222223912301123931/6111112/0519
91111111112/1111231122233123131/4251	1111231122233123131/91111111112/4251
5111111111112/12222223131/9116	12222223131/5111111111112/9116
719211111112/11223831/4352	11223831/719211111112/4352
171112/123631/2694	123631/171112/2694
6692111112/123931/2216	123931/6692111112/2216
91112/11111112361223431/5156	11111112361223431/91112/5156
753296911111112/111223531/4010	111223531/753296911111112/4010
4436111112/12223131/4389	12223131/4436111112/4389
311112/1234122223331/0261	1234122223331/311112/0261
5111112/1112223431/1633	1112223431/5111112/1633
3111112/1122222321223631/9295	1122222321223631/3111112/9295
41111111112/1223231/0838	1223231/41111111112/0838
356480767111112/12238111112222237111111122223031/4029	12238111112222237111111122223031/356480767111112/4029
4111112/1236111111112223631/4068	1236111111112223631/4111112/4068
91112/11235111122232111122223412321234112223031/8541	11235111122232111122223412321234112223031/91112/8541
941111112/11230111222239122222223231/7311	11230111222239122222223231/941111112/7311
21112/1223031/8087	1223031/21112/8087
81112/122341112361122331223031/5140	122341112361122331223031/81112/5140
71112/12222321111122381111236112331223312222234122331111111112223231/0146	12222321111122381111236112331223312222234122331111111112223231/71112/0146
551112/111230123331/3910	111230123331/551112/3910
088111112/1111223531/3167	1111223531/088111112/3167
21112/1111222236111222391112331122222231122223411222223831/3591	1111222236111222391112331122222231122223411222223831/21112/3591
71112/11234111112222331111111123831/9115	11234111112222331111111123831/71112/9115
4111112/1232123831/7517	1232123831/4111112/7517
43111112/11222222222223231/7803	11222222222223231/43111112/7803
81112/12222223431/5012	12222223431/81112/5012
951111111112/12223231/9034	12223231/951111111112/9034
94228272293301691112/111123631/6467	111123631/94228272293301691112/6467
01112/12223531/2432	12223531/01112/2432
833051112/12222351112223231/3013	12222351112223231/833051112/3013
92591112/1222311123011122223631/8817	1222311123011122223631/92591112/8817
921112/1123911231112371223931/7080	1123911231112371223931/921112/7080
411111111111111111112/112236111112237112223711223211123531/6143	112236111112237112223711223211123531/411111111111111111112/6143
791112/1111111123531/1151	1111111123531/791112/1151
76699301112/123811223111112235123531/4008	123811223111112235123531/76699301112/4008
5111111112/1111222222239111112235123911223031/5575	1111222222239111112235123911223031/5111111112/5575
87871112/112239122311122223531/8122	112239122311122223531/87871112/8122
2786111112/1111123331/7547	1111123331/2786111112/7547
111111112/1112235111223112223731/1793	1112235111223112223731/111111112/1793
9261112/123831/8508	123831/9261112/8508
78111112/11223531/4399	11223531/78111112/4399
51112/1223931/0939	1223931/51112/0939
09143111112/11123031/2516	11123031/09143111112/2516
0901112/123931/5623	123931/0901112/5623
09071112/12331111123431/1511	12331111123431/09071112/1511
71311111112/12311112222223131/8778	12311112222223131/71311111112/8778
11112/111222351223011223731/0424	111222351223011223731/11112/0424
81112/123011223111223431/5184	123011223111223431/81112/5184
41112/1223131/5765	1223131/41112/5765
