OHGQ, VWS	ohgq vws
T, LCK	t lck
ZJB, BAWTTG	zjb bawttg
ZZE, UF	zze uf
Y, REXW	y rexw
Q, F	q f
N, XI	n xi
X, AKF	x akf
F, UV	f uv
Q, PNRQSQ	q pnrqsq
D, OT	d ot
LIC, WYNZ	lic wynz
AUV, P	auv p
ZMFV, XUCPF	zmfv xucpf
JXPAV, R	jxpav r
URG, E	urg e
XDE, GD	xde gd
MGD, DGX	mgd dgx
Z, U	z u
FVM, JXR	fvm jxr
N, LCSB	n lcsb
BH, L	bh l
B, GN	b gn
EUI, G	eui g
GDL, NHDYXHCK	gdl nhdyxhck
QW, UUDG	qw uudg
XA, G	xa g
FRHNCYAATX, O	frhncyaatx o
PBRBBI, G	pbrbbi g
MD, UCX	md ucx
F, GXYGVT	f gxygvt
D, EKUYV	d ekuyv
K, I	k i
K, W	k w
H, W	h w
KHBZR, U	khbzr u
CRD, T	crd t
ME, OFEJQJM	me ofejqjm
R, B	r b
XQ, B	xq b
O, YAIXZEMIJ	o yaixzemij
YH, H	yh h
GLS, U	gls u
I, GY	i gy
F, KV	f kv
I, Y	i y
MLO, X	mlo x
M, OCB	m ocb
Q, DV	q dv
EWVBM, O	ewvbm o
M, B	m b
EPZ, VHE	epz vhe
YN, WAF	yn waf
TOLV, VH	tolv vh
PA, UKHE	pa ukhe
T, P	t p
R, Z	r z
I, VUBP	i vubp
G, F	g f
VLITMNN, MDBFG	vlitmnn mdbfg
G, FYHZ	g fyhz
WNJAADQ, MWSS	wnjaadq mwss
IPJXCGCGJ, HWA	ipjxcgcgj hwa
NV, J	nv j
N, MIG	n mig
M, FL	m fl
MJ, E	mj e
QGD, UKL	qgd ukl
T, X	t x
S, N	s n
VY, LRZXSEQU	vy lrzxsequ
S, H	s h
C, XBNVS	c xbnvs
PHR, M	phr m
F, VC	f vc
WM, W	wm w
E, TRVL	e trvl
MMR, YII	mmr yii
FYEAAGFCTZNKDY, NFJE	fyeaagfctznkdy nfje
WHTB, VI	whtb vi
G, BAZGH	g bazgh
GNB, NB	gnb nb
D, GXA	d gxa
JD, TQ	jd tq
I, GNW	i gnw
GN, A	gn a
Q, NQX	q nqx
B, KIQ	b kiq
ROP, TBX	rop tbx
HMTJX, XOVF	hmtjx xovf
PB, ZHIC	pb zhic
XZXEPS, MFKE	xzxeps mfke
AL, RO	al ro
V, LJQTEDOUKZHQ	v ljqtedoukzhq
HZHO, RHNKDF	hzho rhnkdf
YE, Y	ye y
WP, CFY	wp cfy
ZJ, IB	zj ib
TQUNO, XZJBDPXYA	tquno xzjbdpxya
A, QS	a qs
FW, GD	fw gd
PL, PN	pl pn
JU, CAY	ju cay
C, ELT	c elt
JBCQLMB, KT	jbcqlmb kt
YCXFNJXY, KP	ycxfnjxy kp
G, QM	g qm
VS, WV	vs wv
WIY, R	wiy r
GORH, T	gorh t
A, SG	a sg
JZBVZC, O	jzbvzc o
NCN, Z	ncn z
ELWN, VY	elwn vy
B, JSY	b jsy
XI, ZJ	xi zj
KOKSKS, P	koksks p
AYE, P	aye p
QGNXA, TIMY	qgnxa timy
W, PA	w pa
KGFS, T	kgfs t
IABO, UL	iabo ul
TCR, WR	tcr wr
B, NOSA	b nosa
W, KFBP	w kfbp
ED, C	ed c
JO, LRLUAJCDK	jo lrluajcdk
W, GWSWVQ	w gwswvq
CH, RJ	ch rj
RB, FF	rb ff
YEX, I	yex i
Y, BBNBAONZ	y bbnbaonz
RSUHBSK, ZH	rsuhbsk zh
U, D	u d
L, E	l e
N, AT	n at
T, ZHTIV	t zhtiv
IFXL, HT	ifxl ht
ZZ, BOPA	zz bopa
KDVWICAY, Z	kdvwicay z
ZUO, X	zuo x
H, UMVY	h umvy
HG, UQZ	hg uqz
P, B	p b
GBCUP, K	gbcup k
AS, ICJU	as icju
JP, R	jp r
DSI, OD	dsi od
EDSSCSYFET, X	edsscsyfet x
Y, T	y t
G, NDM	g ndm
OZBGNIA, SP	ozbgnia sp
VV, D	vv d
S, PPPWJB	s pppwjb
P, I	p i
NPQOD, X	npqod x
MS, OL	ms ol
V, T	v t
I, QCE	i qce
SI, YDM	si ydm
Y, K	y k
OLHB, YQOX	olhb yqox
DJN, R	djn r
FEYWS, N	feyws n
KXZ, IH	kxz ih
E, ZD	e zd
HQKTL, UURL	hqktl uurl
R, Y	r y
YOTFQ, CQV	yotfq cqv
X, YG	x yg
PY, D	py d
DOOQL, H	dooql h
PIYWJ, PKR	piywj pkr
OBF, MPTFQ	obf mptfq
RX, E	rx e
Y, XWY	y xwy
K, ZFL	k zfl
PBT, JD	pbt jd
F, K	f k
A, SW	a sw
G, GRN	g grn
EE, QRQB	ee qrqb
BMDZP, G	bmdzp g
MZLXY, TX	mzlxy tx
QPT, S	qpt s
D, TVX	d tvx
MLK, CKK	mlk ckk
RK, M	rk m
BNA, KOMJ	bna komj
A, X	a x
F, L	f l
ZH, QX	zh qx
L, JRDNFZRU	l jrdnfzru
O, PHO	o pho
V, PI	v pi
E, H	e h
TBM, G	tbm g
ZFK, N	zfk n
GOQDJ, RNULE	goqdj rnule
Z, S	z s
E, YA	e ya
R, OBIPOZ	r obipoz
E, V	e v
Q, A	q a
P, YZL	p yzl
VYMYCM, VY	vymycm vy
FVZHZ, JH	fvzhz jh
VA, PQ	va pq
TR, FR	tr fr
KWSQL, G	kwsql g
UM, EEOMZR	um eeomzr
B, WQABJBU	b wqabjbu
FGLT, EXEDS	fglt exeds
H, V	h v
UFUR, YNWN	ufur ynwn
V, NC	v nc
XOB, W	xob w
W, G	w g
O, W	o w
W, PRU	w pru
HZ, I	hz i
UWW, M	uww m
RJDP, XDCJ	rjdp xdcj
EOL, YUPL	eol yupl
AC, Q	ac q
JQT, O	jqt o
G, D	g d
X, B	x b
XSADJM, T	xsadjm t
L, MNX	l mnx
NF, A	nf a
KSUG, W	ksug w
S, UFDF	s ufdf
LJ, RA	lj ra
FY, IKH	fy ikh
O, MU	o mu
VX, DG	vx dg
LE, ZB	le zb
Y, I	y i
E, J	e j
QUWQ, ZLG	quwq zlg
K, PC	k pc
R, B	r b
PBNUC, OL	pbnuc ol
FC, V	fc v
YXNDJDHBJDVFRNC, D	yxndjdhbjdvfrnc d
ET, KU	et ku
J, K	j k
R, TLT	r tlt
H, IQE	h iqe
EE, ZJ	ee zj
P, GYEE	p gyee
TAJRW, GSKP	tajrw gskp
BY, GTZ	by gtz
EXC, A	exc a
D, IH	d ih
M, B	m b
MOPOZE, R	mopoze r
IKFPA, ZJHY	ikfpa zjhy
DXTPHEJUEW, K	dxtphejuew k
KM, UH	km uh
I, U	i u
F, GRGBU	f grgbu
D, V	d v
HBB, KB	hbb kb
Z, Y	z y
PO, AZ	po az
CJIYWLO, ATD	cjiywlo atd
R, H	r h
A, E	a e
JH, Q	jh q
BI, NP	bi np
X, O	x o
BW, N	bw n
B, FO	b fo
G, U	g u
Y, M	y m
GX, RX	gx rx
D, CR	d cr
SLARL, FZMBADUKY	slarl fzmbaduky
W, CYL	w cyl
F, R	f r
SQL, Z	sql z
ECN, WW	ecn ww
LAPW, AOF	lapw aof
N, USD	n usd
S, T	s t
B, J	b j
FBB, TWB	fbb twb
F, HY	f hy
JBNIDVJN, R	jbnidvjn r
B, ZJO	b zjo
W, J	w j
M, J	m j
M, DRNSU	m drnsu
E, OJZII	e ojzii
X, XMBEERY	x xmbeery
MOWZN, I	mowzn i
AVAWR, PO	avawr po
OG, L	og l
ASG, CNIWCYU	asg cniwcyu
IG, P	ig p
SSU, R	ssu r
WCIJ, A	wcij a
FCWM, MU	fcwm mu
F, JGVTVW	f jgvtvw
S, DJE	s dje
BE, GN	be gn
R, E	r e
XP, KL	xp kl
IRLCVYE, WNQ	irlcvye wnq
ZKS, S	zks s
IHPB, LU	ihpb lu
I, SQG	i sqg
VQ, X	vq x
U, UYBF	u uybf
HN, QS	hn qs
S, DZ	s dz
HXMB, KP	hxmb kp
NM, H	nm h
NV, DN	nv dn
J, T	j t
Z, LY	z ly
KFKOEB, B	kfkoeb b
YA, HO	ya ho
EJA, S	eja s
GSC, WC	gsc wc
ABL, G	abl g
OLQ, V	olq v
B, QKJA	b qkja
UNEEFRSAGW, M	uneefrsagw m
TNSYF, SL	tnsyf sl
DRUR, HP	drur hp
G, H	g h
C, A	c a
NN, F	nn f
OM, CT	om ct
SG, A	sg a
CEAN, UTG	cean utg
A, O	a o
Z, DDTO	z ddto
U, UU	u uu
PZT, Y	pzt y
D, E	d e
BV, VU	bv vu
BQHJ, KSVT	bqhj ksvt
RSDV, RZU	rsdv rzu
U, V	u v
SHIOMFDW, EI	shiomfdw ei
Z, RD	z rd
EX, U	ex u
P, C	p c
B, U	b u
MZBVX, U	mzbvx u
M, IURP	m iurp
Y, F	y f
L, HVQ	l hvq
Q, R	q r
L, MTIJKM	l mtijkm
Z, DPJZV	z dpjzv
G, WOD	g wod
MTR, TCV	mtr tcv
YQM, W	yqm w
VHYBU, U	vhybu u
APM, JFQJ	apm jfqj
E, M	e m
CT, F	ct f
SLWDO, NVXYG	slwdo nvxyg
Z, CPXL	z cpxl
ZA, YY	za yy
KR, MN	kr mn
HFI, JUGE	hfi juge
GR, Q	gr q
LRP, E	lrp e
VMZZW, SFZRN	vmzzw sfzrn
TYQ, P	tyq p
CXK, SDIB	cxk sdib
QW, GGI	qw ggi
S, LMEXXBFNV	s lmexxbfnv
E, N	e n
FLH, W	flh w
WJZ, UE	wjz ue
QF, T	qf t
YCLQ, DF	yclq df
YS, KBMJRY	ys kbmjry
COC, P	coc p
W, W	w w
ZJIBXS, Z	zjibxs z
N, UBTKAL	n ubtkal
O, MX	o mx
K, CITY	k city
S, VRA	s vra
VKKGJV, XI	vkkgjv xi
JROCE, Z	jroce z
LL, TAPY	ll tapy
PJX, R	pjx r
I, M	i m
H, JV	h jv
N, OCLS	n ocls
J, AG	j ag
J, G	j g
INA, M	ina m
JA, W	ja w
L, VWIGTXP	l vwigtxp
U, NDTLZZNEYF	u ndtlzzneyf
SV, R	sv r
K, G	k g
A, UETH	a ueth
YDV, TA	ydv ta
TZ, MN	tz mn
IE, S	ie s
MZ, L	mz l
P, AI	p ai
H, H	h h
JIQ, K	jiq k
HLWXBZM, MV	hlwxbzm mv
XW, O	xw o
QN, XF	qn xf
TFH, K	tfh k
H, J	h j
TKQC, JW	tkqc jw
XWNWD, UE	xwnwd ue
S, HFI	s hfi
CF, J	cf j
RV, X	rv x
A, PO	a po
WKZF, J	wkzf j
EPZE, JC	epze jc
Y, ECYQJ	y ecyqj
JTA, KGF	jta kgf
Q, QIZ	q qiz
UTN, EN	utn en
TFXX, SWMZM	tfxx swmzm
VN, L	vn l
N, HIC	n hic
KKUD, AHQCW	kkud ahqcw
NW, G	nw g
WG, ER	wg er
AX, SPW	ax spw
YV, CG	yv cg
VUW, F	vuw f
MQPD, BYGLFGQT	mqpd byglfgqt
HV, NJZAAD	hv njzaad
DMPR, VMX	dmpr vmx
YWGI, Z	ywgi z
CZX, INIW	czx iniw
UCN, I	ucn i
HVTHG, NMP	hvthg nmp
Y, UM	y um
LS, DCQXI	ls dcqxi
ZE, JHISRYS	ze jhisrys
T, OMZJG	t omzjg
F, Y	f y
R, G	r g
WRN, N	wrn n
DNHUJ, BFK	dnhuj bfk
QSO, Z	qso z
JYSF, K	jysf k
MUV, W	muv w
IAHA, SL	iaha sl
M, X	m x
K, LH	k lh
P, R	p r
YBJ, H	ybj h
DKDB, DSXU	dkdb dsxu
OOVRM, N	oovrm n
RGDHFVG, HMS	rgdhfvg hms
I, KCQJXN	i kcqjxn
L, HMZDF	l hmzdf
N, TZUA	n tzua
WVTEH, K	wvteh k
MRMO, D	mrmo d
FE, EB	fe eb
O, OMX	o omx
Y, DTLK	y dtlk
G, K	g k
Z, JX	z jx
VR, YKBO	vr ykbo
TJRV, T	tjrv t
NHLVJD, UN	nhlvjd un
JXLSZ, B	jxlsz b
X, T	x t
OOZDC, ZOXT	oozdc zoxt
PL, OWB	pl owb
S, I	s i
O, QFF	o qff
PG, A	pg a
I, D	i d
W, F	w f
DK, EXIXLT	dk exixlt
VKG, ZF	vkg zf
OPWNZXY, G	opwnzxy g
M, L	m l
B, OA	b oa
K, WL	k wl
YEXS, C	yexs c
T, QWBOC	t qwboc
CTZM, TJA	ctzm tja
IUJH, BGXVQUBHQEG	iujh bgxvqubhqeg
P, E	p e
M, Y	m y
L, H	l h
PWS, HS	pws hs
B, WJSXHBPY	b wjsxhbpy
KIWCSD, S	kiwcsd s
R, XUDJDTL	r xudjdtl
DZ, EJWNT	dz ejwnt
Q, VPLTRC	q vpltrc
FD, O	fd o
F, R	f r
TS, Q	ts q
DLW, KAY	dlw kay
CGW, PRVARI	cgw prvari
B, QEV	b qev
F, JYLOR	f jylor
W, JXBR	w jxbr
R, K	r k
KPGTTVXZ, HCVCO	kpgttvxz hcvco
F, MT	f mt
VHQSY, W	vhqsy w
K, GM	k gm
IIQ, GP	iiq gp
XWCK, I	xwck i
ZBUT, S	zbut s
Q, WGFNIRW	q wgfnirw
B, KLLHOYQUP	b kllhoyqup
UEWFPI, JBNMK	uewfpi jbnmk
BRCHQ, FQ	brchq fq
OQ, FX	oq fx
P, G	p g
A, QHYZ	a qhyz
OD, MMCOR	od mmcor
LLP, FZ	llp fz
CEWZ, RY	cewz ry
AFS, BN	afs bn
RP, RW	rp rw
KAS, O	kas o
HD, J	hd j
ELOJW, X	elojw x
BU, CBA	bu cba
JR, C	jr c
O, OW	o ow
V, YY	v yy
NC, S	nc s
V, X	v x
U, WH	u wh
PFB, YSDM	pfb ysdm
VW, T	vw t
G, WWQ	g wwq
PKE, NRY	pke nry
D, SKN	d skn
X, P	x p
L, BBRX	l bbrx
AEF, QG	aef qg
ZDXELGW, F	zdxelgw f
S, JNN	s jnn
K, A	k a
O, LBTRP	o lbtrp
KHFB, Z	khfb z
TB, TBII	tb tbii
N, R	n r
Z, X	z x
F, SVHW	f svhw
L, P	l p
W, CTX	w ctx
MR, IGE	mr ige
SYZG, Z	syzg z
M, N	m n
U, XL	u xl
JL, O	jl o
XU, T	xu t
L, G	l g
X, M	x m
J, TYPB	j typb
Z, RA	z ra
Z, B	z b
ZE, X	ze x
KP, QL	kp ql
PAX, N	pax n
ZD, R	zd r
UZGED, JBRW	uzged jbrw
QJ, G	qj g
G, ZXHJKOX	g zxhjkox
W, O	w o
JJEH, NPA	jjeh npa
N, EMZA	n emza
Q, B	q b
B, N	b n
H, BA	h ba
OSM, GC	osm gc
KN, YOY	kn yoy
HGTPL, SJ	hgtpl sj
OORC, O	oorc o
UOHO, AMV	uoho amv
J, B	j b
FR, K	fr k
EWXD, LGDN	ewxd lgdn
VU, ZBPN	vu zbpn
EZOMN, Z	ezomn z
DT, ZJJEFGGOJZHMPGR	dt zjjefggojzhmpgr
FY, DKHHUR	fy dkhhur
C, A	c a
LM, E	lm e
WWBU, NZLYAWKAP	wwbu nzlyawkap
YRQ, MC	yrq mc
P, PY	p py
NCVDH, AT	ncvdh at
QBMIQ, VD	qbmiq vd
P, V	p v
OX, IQBLMED	ox iqblmed
X, PGXHVO	x pgxhvo
OMDN, FF	omdn ff
U, KS	u ks
UCCC, VGC	uccc vgc
Q, NX	q nx
KAG, V	kag v
XRF, RMW	xrf rmw
XYLU, D	xylu d
DV, PKMQIZHYCPY	dv pkmqizhycpy
UNGWH, JD	ungwh jd
J, DWJ	j dwj
LL, FQMKTQ	ll fqmktq
LV, UQ	lv uq
WCPM, HYS	wcpm hys
OA, HTS	oa hts
J, HFM	j hfm
OY, WUSW	oy wusw
SBATN, RS	sbatn rs
WKS, K	wks k
K, S	k s
BO, JX	bo jx
WFIV, M	wfiv m
YA, CQ	ya cq
P, NB	p nb
G, OYWNW	g oywnw
ENU, IYE	enu iye
YIE, IMB	yie imb
ZQ, I	zq i
LH, RF	lh rf
T, D	t d
PN, PASVUP	pn pasvup
BNLFA, T	bnlfa t
DA, YX	da yx
S, XE	s xe
CAMMSY, N	cammsy n
GGYLS, TUXD	ggyls tuxd
J, XBHXO	j xbhxo
W, AFU	w afu
AW, AH	aw ah
X, Z	x z
YZ, QBC	yz qbc
U, P	u p
DFE, KD	dfe kd
N, W	n w
EACMRB, VBYH	eacmrb vbyh
IIQ, RA	iiq ra
IHJWW, L	ihjww l
FU, V	fu v
QVTW, L	qvtw l
LQ, K	lq k
M, PVQ	m pvq
NJBTGI, R	njbtgi r
P, CQI	p cqi
MMLYJES, T	mmlyjes t
B, IB	b ib
NS, MZ	ns mz
EDWGJJKVA, M	edwgjjkva m
S, LHL	s lhl
C, EMK	c emk
J, D	j d
C, J	c j
PA, QGTRP	pa qgtrp
C, BIF	c bif
I, F	i f
K, XFIV	k xfiv
YSZV, E	yszv e
XE, XP	xe xp
LG, A	lg a
B, NZYE	b nzye
G, CWIFBY	g cwifby
SU, YXO	su yxo
L, N	l n
KL, V	kl v
T, ND	t nd
HJV, NN	hjv nn
ZIR, E	zir e
E, SSFJ	e ssfj
IRE, RKX	ire rkx
BBRG, L	bbrg l
CIR, V	cir v
NUFS, J	nufs j
R, X	r x
JBA, MB	jba mb
B, KG	b kg
EWCX, EJY	ewcx ejy
Q, I	q i
U, YJEP	u yjep
F, W	f w
O, E	o e
UTNY, NR	utny nr
PEGS, FHUMDHDE	pegs fhumdhde
K, HGS	k hgs
EG, GUN	eg gun
C, JQ	c jq
HI, KPS	hi kps
I, UKLRCSS	i uklrcss
J, LGKO	j lgko
CNE, PC	cne pc
SV, RM	sv rm
Q, IKS	q iks
QD, E	qd e
WDH, V	wdh v
DM, T	dm t
Q, I	q i
AQV, DHI	aqv dhi
BA, KGN	ba kgn
KIS, NGCTIKU	kis ngctiku
P, F	p f
L, APZ	l apz
IJSM, VF	ijsm vf
IY, F	iy f
VPQRMURTR, HW	vpqrmurtr hw
YPEHVX, H	ypehvx h
SVG, Y	svg y
GD, NE	gd ne
MCT, TG	mct tg
N, YT	n yt
B, OBC	b obc
IQ, OV	iq ov
VEBD, B	vebd b
SJJH, GGJY	sjjh ggjy
MIXBPFGU, FFK	mixbpfgu ffk
A, L	a l
CMBPR, H	cmbpr h
X, MON	x mon
OICDB, OJFXULAU	oicdb ojfxulau
D, FMF	d fmf
LXY, AEPJAF	lxy aepjaf
TNZ, PAHMCJEWG	tnz pahmcjewg
NE, S	ne s
KV, M	kv m
DSUYEMRNNQ, K	dsuyemrnnq k
N, A	n a
T, DU	t du
U, KTM	u ktm
ZAADOPWKPOSZ, NT	zaadopwkposz nt
FIBN, ZJPG	fibn zjpg
DX, KZZZMTI	dx kzzzmti
AK, X	ak x
H, SVPCM	h svpcm
X, S	x s
BN, KO	bn ko
WQME, VP	wqme vp
NL, KZSS	nl kzss
UEGL, SY	uegl sy
P, AY	p ay
RTP, W	rtp w
VGHIYSDOR, EK	vghiysdor ek
SJSSYFLM, JH	sjssyflm jh
A, F	a f
TXVPC, A	txvpc a
QKO, KSD	qko ksd
Q, IN	q in
LYC, IZO	lyc izo
HEAZN, GTNR	heazn gtnr
QNH, PT	qnh pt
LU, WG	lu wg
G, K	g k
NO, AX	no ax
NHZ, KN	nhz kn
AW, UP	aw up
O, UH	o uh
QOCBH, M	qocbh m
O, RID	o rid
PPLYBPYD, JJ	pplybpyd jj
TIJO, T	tijo t
GBDFFLSLVI, H	gbdfflslvi h
FAC, JNFLGYGI	fac jnflgygi
S, WHBI	s whbi
AY, LWPZJDR	ay lwpzjdr
UVS, J	uvs j
G, QM	g qm
CQG, KAZIW	cqg kaziw
GCD, M	gcd m
YOTV, Z	yotv z
LB, QNB	lb qnb
FT, MXUE	ft mxue
AE, T	ae t
IHJE, PY	ihje py
BCN, BYOKV	bcn byokv
W, T	w t
SVTZDQZJ, H	svtzdqzj h
CD, RC	cd rc
S, EWHRUV	s ewhruv
MM, IFH	mm ifh
WEU, DM	weu dm
XZ, IUAYED	xz iuayed
R, DIOYI	r dioyi
B, PFRS	b pfrs
T, CQTF	t cqtf
KIK, XSTE	kik xste
U, OZ	u oz
KMUQZ, PI	kmuqz pi
H, E	h e
WL, P	wl p
UHUL, ITGJZBXM	uhul itgjzbxm
HYTJY, JYI	hytjy jyi
ZRSTBQ, EXQ	zrstbq exq
H, Q	h q
C, NBS	c nbs
VM, HNGZQAAZGTQ	vm hngzqaazgtq
PN, ZX	pn zx
HHDKQ, Q	hhdkq q
OM, E	om e
AWGXDESD, VKB	awgxdesd vkb
BD, CGF	bd cgf
RM, TKSLFI	rm tkslfi
NJ, SVQOL	nj svqol
J, YB	j yb
DP, RHJ	dp rhj
J, LQA	j lqa
D, KR	d kr
R, QGO	r qgo
A, KGJVRBWEL	a kgjvrbwel
S, X	s x
YWD, HK	ywd hk
M, D	m d
W, KJSAV	w kjsav
ZCR, M	zcr m
P, L	p l
S, MJHB	s mjhb
FI, KX	fi kx
G, CKRB	g ckrb
DY, QKGKSA	dy qkgksa
Q, SZ	q sz
K, RJZSGG	k rjzsgg
JHIXEY, NZS	jhixey nzs
L, LLZC	l llzc
Y, IEC	y iec
G, HX	g hx
WNP, IEMRJ	wnp iemrj
R, U	r u
FLKFWNV, N	flkfwnv n
MFQ, T	mfq t
YRG, DOT	yrg dot
PPVVP, CGPK	ppvvp cgpk
L, OK	l ok
GQBE, TE	gqbe te
VOSNDH, G	vosndh g
VFGACNLT, W	vfgacnlt w
FZZNWACTM, PS	fzznwactm ps
V, N	v n
QWL, GR	qwl gr
ZSE, LI	zse li
EF, X	ef x
UE, QPOWF	ue qpowf
NF, M	nf m
MB, Z	mb z
E, V	e v
G, E	g e
ACATE, PZ	acate pz
HYH, SL	hyh sl
M, F	m f
MVBC, CEP	mvbc cep
O, A	o a
YB, HSL	yb hsl
GCS, L	gcs l
VRE, C	vre c
J, HJRWPQ	j hjrwpq
UXX, AK	uxx ak
GHMU, Y	ghmu y
AY, S	ay s
C, J	c j
Q, O	q o
JXW, E	jxw e
B, CGZZ	b cgzz
TZ, X	tz x
JYT, QJ	jyt qj
O, UW	o uw
EK, HP	ek hp
WI, G	wi g
NI, NR	ni nr
U, HK	u hk
P, Q	p q
JGFQ, DD	jgfq dd
BYSS, Q	byss q
W, BMF	w bmf
C, J	c j
PPTI, K	ppti k
OAV, IL	oav il
YLH, D	ylh d
LDU, CI	ldu ci
X, O	x o
D, F	d f
J, U	j u
AJXL, HLT	ajxl hlt
I, S	i s
CB, BA	cb ba
YTU, EWE	ytu ewe
EN, O	en o
T, SM	t sm
Y, BZ	y bz
OOL, WV	ool wv
DY, Q	dy q
BN, TDUF	bn tduf
I, DILDIU	i dildiu
XO, W	xo w
UKE, A	uke a
K, T	k t
X, YTZ	x ytz
NS, TF	ns tf
T, RN	t rn
A, W	a w
IRHFGR, VLFG	irhfgr vlfg
B, B	b b
D, GX	d gx
U, NX	u nx
AZ, JS	az js
GQ, YR	gq yr
P, MNDWPT	p mndwpt
DW, J	dw j
DAAWL, VI	daawl vi
VJUKE, N	vjuke n
ZLB, DQCRWNP	zlb dqcrwnp
NXI, V	nxi v
QKJ, V	qkj v
FWZ, QJM	fwz qjm
GKLKJ, XHE	gklkj xhe
LE, TCP	le tcp
ZR, J	zr j
F, DHN	f dhn
RA, U	ra u
R, M	r m
RQKYXFBPAT, DZNGVAKMSULB	rqkyxfbpat dzngvakmsulb
USDJ, QCG	usdj qcg
H, G	h g
P, C	p c
XNUVR, TUBW	xnuvr tubw
FF, D	ff d
U, BI	u bi
S, KOWM	s kowm
X, FJ	x fj
A, YIKHG	a yikhg
C, HON	c hon
GO, FK	go fk
RJ, VEHD	rj vehd
MOJJL, G	mojjl g
PKX, ITZQT	pkx itzqt
QN, ISTFFXV	qn istffxv
DYIWF, F	dyiwf f
MPTOU, PTUY	mptou ptuy
H, UT	h ut
N, VLAG	n vlag
QHQ, XC	qhq xc
ODRX, LA	odrx la
OT, YL	ot yl
V, USQ	v usq
N, TSJ	n tsj
DOZ, SLWM	doz slwm
RW, QM	rw qm
H, STWCQ	h stwcq
NUMKAE, WS	numkae ws
W, JRJ	w jrj
TBGDC, F	tbgdc f
XVU, EF	xvu ef
BA, KLLFH	ba kllfh
E, W	e w
U, Y	u y
H, XVAXNB	h xvaxnb
B, E	b e
LSS, VG	lss vg
RP, P	rp p
AQ, MMK	aq mmk
T, WJKQ	t wjkq
W, THRGY	w thrgy
P, LPOJ	p lpoj
CKGUAC, Q	ckguac q
ND, QWG	nd qwg
JSV, J	jsv j
E, UU	e uu
U, GO	u go
ADPL, W	adpl w
M, CBRM	m cbrm
ZWU, O	zwu o
GD, L	gd l
JNYDSX, GA	jnydsx ga
A, WESV	a wesv
X, DAA	x daa
Q, OH	q oh
H, HA	h ha
IJ, HOL	ij hol
L, EE	l ee
LP, UPNK	lp upnk
CWQ, LGX	cwq lgx
FJ, E	fj e
V, HC	v hc
D, ANXR	d anxr
KI, MZ	ki mz
TMZIXQEO, PAM	tmzixqeo pam
JI, D	ji d
OQ, ZNAAISC	oq znaaisc
L, S	l s
WH, M	wh m
J, DG	j dg
X, GF	x gf
SF, HBQ	sf hbq
QUJITZ, NHOYT	qujitz nhoyt
WLONORXM, ZVLNGGR	wlonorxm zvlnggr
H, CS	h cs
WHV, R	whv r
TRLWVLT, YAR	trlwvlt yar
H, IP	h ip
U, B	u b
T, NWAIHJU	t nwaihju
B, A	b a
VHEONFRL, Y	vheonfrl y
M, KYJGV	m kyjgv
NLK, YO	nlk yo
TH, I	th i
YRK, YSCI	yrk ysci
C, GLMOM	c glmom
HAOV, GGSGYUZJ	haov ggsgyuzj
G, Q	g q
YRPK, SASCDZSOS	yrpk sascdzsos
C, LNI	c lni
UO, I	uo i
GM, WS	gm ws
QCPV, SBBBGZUNBFJ	qcpv sbbbgzunbfj
IQF, P	iqf p
CXY, KJY	cxy kjy
O, OQ	o oq
HJZ, JH	hjz jh
