# _4C\n\nExplanation: \n	{"Pref"={"#comment"="_4C"}}{"Pref"={"Explanation"=""}}
# 2I\n	{"Pref"={"#comment"="2I"}}
# r\n	{"Pref"={"#comment"="r"}}
Package: *\n\nExplanation: F/\n\nPin-Priority: 7\n\nExplanation: AVA\n\n# HHx:\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="F/"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Explanation"="AVA"}}{"Pref"={"#comment"="HHx:"}}
Pin-Priority: 81292\n	{"Pref"={"Pin-Priority"="81292"}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Pin-Priority: 27\n\nPin-Priority: 566\n\n# iP\n\n# +\n\nPin-Priority: 9\n	{"Pref"={"Pin-Priority"="27"}}{"Pref"={"Pin-Priority"="566"}}{"Pref"={"#comment"="iP"}}{"Pref"={"#comment"="+"}}{"Pref"={"Pin-Priority"="9"}}
# _:\n	{"Pref"={"#comment"="_:"}}
Pin: Akr\n\nPin-Priority: 5195048\n\nPin-Priority: 8\n	{"Pref"={"Pin"="Akr"}}{"Pref"={"Pin-Priority"="5195048"}}{"Pref"={"Pin-Priority"="8"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 43\n	{"Pref"={"Pin-Priority"="43"}}
Pin: =xp\n\nPackage: *\n\nPackage: *\n	{"Pref"={"Pin"="=xp"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
# .\n\nPackage: Y\n	{"Pref"={"#comment"="."}}{"Pref"={"Package"="Y"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: c\n\nExplanation: 9\n	{"Pref"={"Pin"="c"}}{"Pref"={"Explanation"="9"}}
# \n	{"Pref"={"#comment"=""}}
Explanation: v0\n\nExplanation: SVj\n\nPin: \n	{"Pref"={"Explanation"="v0"}}{"Pref"={"Explanation"="SVj"}}{"Pref"={"Pin"=""}}
Explanation: \n\nExplanation: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
# Ky\n\n# x\n\nPackage: *\n\nPackage: GVH\n	{"Pref"={"#comment"="Ky"}}{"Pref"={"#comment"="x"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="GVH"}}
Package: WF\n	{"Pref"={"Package"="WF"}}
# Or\n	{"Pref"={"#comment"="Or"}}
Package: *\n\nExplanation: m5\n\nExplanation: UH\n\nPin: kS-\n\nPin: 3\n\nExplanation: \n\nPin-Priority: 857\n\nPackage: *\n\nPackage: *\n\nPin-Priority: 1932\n\nExplanation: HPL:\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="m5"}}{"Pref"={"Explanation"="UH"}}{"Pref"={"Pin"="kS-"}}{"Pref"={"Pin"="3"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="857"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="1932"}}{"Pref"={"Explanation"="HPL:"}}
Pin: A\n	{"Pref"={"Pin"="A"}}
Explanation: ELq.k\n	{"Pref"={"Explanation"="ELq.k"}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
Explanation:  dIQ\n\nExplanation: nE\n\nPin-Priority: 87\n	{"Pref"={"Explanation"=" dIQ"}}{"Pref"={"Explanation"="nE"}}{"Pref"={"Pin-Priority"="87"}}
Package: n\n	{"Pref"={"Package"="n"}}
Package: ToMB7\n	{"Pref"={"Package"="ToMB7"}}
Package: qck9\n\nPackage: \n	{"Pref"={"Package"="qck9"}}{"Pref"={"Package"=""}}
Package: \n\nPin: uv\n\nExplanation: ME_\n\n# F\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="uv"}}{"Pref"={"Explanation"="ME_"}}{"Pref"={"#comment"="F"}}
# \n\nExplanation: b\n\n# 3ML'\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="b"}}{"Pref"={"#comment"="3ML'"}}
# z\n	{"Pref"={"#comment"="z"}}
Pin-Priority: 7\n	{"Pref"={"Pin-Priority"="7"}}
Explanation: \n\nPin-Priority: 0635468\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="0635468"}}
Explanation: 3\n	{"Pref"={"Explanation"="3"}}
Pin-Priority: 856\n\nPin-Priority: 4\n\nPackage: \n\nPackage: D\n\nExplanation: L\n\nPackage: *\n	{"Pref"={"Pin-Priority"="856"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Package"=""}}{"Pref"={"Package"="D"}}{"Pref"={"Explanation"="L"}}{"Pref"={"Package"="*"}}
Explanation: PE3ba\n	{"Pref"={"Explanation"="PE3ba"}}
# w\n\nExplanation: fte\n	{"Pref"={"#comment"="w"}}{"Pref"={"Explanation"="fte"}}
# eyrI\n	{"Pref"={"#comment"="eyrI"}}
Pin-Priority: 941\n	{"Pref"={"Pin-Priority"="941"}}
Pin-Priority: 416\n\nPin: ZjV/ym-F\n\nPin-Priority: 8334389\n\nPackage: *\n	{"Pref"={"Pin-Priority"="416"}}{"Pref"={"Pin"="ZjV/ym-F"}}{"Pref"={"Pin-Priority"="8334389"}}{"Pref"={"Package"="*"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 849\n\nExplanation: FIDH\n\n# z\n	{"Pref"={"Pin-Priority"="849"}}{"Pref"={"Explanation"="FIDH"}}{"Pref"={"#comment"="z"}}
Pin-Priority: 17\n\nPackage: *\n\nPin: w\n\nPin-Priority: 32\n	{"Pref"={"Pin-Priority"="17"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="w"}}{"Pref"={"Pin-Priority"="32"}}
Package: *\n\nExplanation: +\n\n# 7JR\n\nPackage: *\n\n# \n\n# MKAl\n\nPin-Priority: 86\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="+"}}{"Pref"={"#comment"="7JR"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="MKAl"}}{"Pref"={"Pin-Priority"="86"}}
Package: *\n	{"Pref"={"Package"="*"}}
# \n	{"Pref"={"#comment"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 5107082033\n\nPin-Priority: 142\n	{"Pref"={"Pin-Priority"="5107082033"}}{"Pref"={"Pin-Priority"="142"}}
Explanation: \n\n# \n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}
Package: 7g\n	{"Pref"={"Package"="7g"}}
# 6=t\n	{"Pref"={"#comment"="6=t"}}
Explanation: \n\n#  mY\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=" mY"}}
Package: J\n\nPin: q\n	{"Pref"={"Package"="J"}}{"Pref"={"Pin"="q"}}
Pin: y\n\n# A\n\n# '24YytG\n\nPin-Priority: 9983123154\n\nPackage: *\n\nExplanation: F\n\nPackage: *\n\nPin: \n\nPin-Priority: 9\n	{"Pref"={"Pin"="y"}}{"Pref"={"#comment"="A"}}{"Pref"={"#comment"="'24YytG"}}{"Pref"={"Pin-Priority"="9983123154"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="F"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="9"}}
#  lP\n\n# \n	{"Pref"={"#comment"=" lP"}}{"Pref"={"#comment"=""}}
Explanation: GP\n\n# b\n\nPin: JF\n	{"Pref"={"Explanation"="GP"}}{"Pref"={"#comment"="b"}}{"Pref"={"Pin"="JF"}}
Pin: nX\n\n# \n\nPin-Priority: 3\n\nPin: '\n\nExplanation: _woc\n	{"Pref"={"Pin"="nX"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin"="'"}}{"Pref"={"Explanation"="_woc"}}
Pin-Priority: 4\n\nExplanation: n\n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Explanation"="n"}}
# \n	{"Pref"={"#comment"=""}}
Explanation: f\n\nPin: 1\n\nPin-Priority: 33\n\nExplanation: \n	{"Pref"={"Explanation"="f"}}{"Pref"={"Pin"="1"}}{"Pref"={"Pin-Priority"="33"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 16\n	{"Pref"={"Pin-Priority"="16"}}
Explanation: V/\n	{"Pref"={"Explanation"="V/"}}
# +\n\n# qnipRR\n\nPin-Priority: 6\n	{"Pref"={"#comment"="+"}}{"Pref"={"#comment"="qnipRR"}}{"Pref"={"Pin-Priority"="6"}}
# Mz\n	{"Pref"={"#comment"="Mz"}}
Pin-Priority: 8\n	{"Pref"={"Pin-Priority"="8"}}
# Q\n	{"Pref"={"#comment"="Q"}}
Pin: d\n\n# \n\nPin-Priority: 91\n\nPackage: *\n\nExplanation: \n\nPin: c\n\nPackage: *\n\nPackage: \n	{"Pref"={"Pin"="d"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="91"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="c"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}
# +HSfV\n	{"Pref"={"#comment"="+HSfV"}}
# W7\n\nPin: \n\n# K\n	{"Pref"={"#comment"="W7"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="K"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: 5\n\nExplanation: \n	{"Pref"={"Explanation"="5"}}{"Pref"={"Explanation"=""}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Pin: \n\nExplanation: \n\nPin: b3wg\n\nPin-Priority: 68\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="b3wg"}}{"Pref"={"Pin-Priority"="68"}}
Package: \n	{"Pref"={"Package"=""}}
Explanation: U\n\n# 5\n	{"Pref"={"Explanation"="U"}}{"Pref"={"#comment"="5"}}
# A\n\nPin-Priority: 84\n	{"Pref"={"#comment"="A"}}{"Pref"={"Pin-Priority"="84"}}
Package: Dl\n	{"Pref"={"Package"="Dl"}}
Explanation: +\n\nPackage: Uxhd\n\nPin-Priority: 4\n\n# =3\n\nPin: q\n\nPin-Priority: 7\n	{"Pref"={"Explanation"="+"}}{"Pref"={"Package"="Uxhd"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"#comment"="=3"}}{"Pref"={"Pin"="q"}}{"Pref"={"Pin-Priority"="7"}}
# \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
Pin-Priority: 4\n\nPin: qat\n\nPackage: gehE6H\n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin"="qat"}}{"Pref"={"Package"="gehE6H"}}
Pin-Priority: 4799\n\nExplanation: Cse-\n	{"Pref"={"Pin-Priority"="4799"}}{"Pref"={"Explanation"="Cse-"}}
Pin-Priority: 928\n\nExplanation: \n\nPackage: \n\nPin: 3'W\n	{"Pref"={"Pin-Priority"="928"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="3'W"}}
Package: *\n\n# \n\nExplanation: \n\nPin: A6Y\n\nExplanation: \n\nPin: \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="A6Y"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
# \n	{"Pref"={"#comment"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: T\n	{"Pref"={"Pin"="T"}}
Package: *\n\nExplanation: M"\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="M""}}
Explanation: o\n\n# on\n\n# g\n\n# '\n\nPin: \n\nPin-Priority: 219\n	{"Pref"={"Explanation"="o"}}{"Pref"={"#comment"="on"}}{"Pref"={"#comment"="g"}}{"Pref"={"#comment"="'"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="219"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: OAC\n\nPin: PG\n	{"Pref"={"Pin"="OAC"}}{"Pref"={"Pin"="PG"}}
Pin-Priority: 1869\n\nExplanation: 5\n\n# eIXWLg\n	{"Pref"={"Pin-Priority"="1869"}}{"Pref"={"Explanation"="5"}}{"Pref"={"#comment"="eIXWLg"}}
# \n	{"Pref"={"#comment"=""}}
Pin: K\n\nPackage: *\n\nPackage: *\n\nExplanation: 6\n\n# \n\nExplanation: \n\nPin-Priority: 5\n\nPackage: n\n\nPin-Priority: 8\n\nPin-Priority: 9938433\n	{"Pref"={"Pin"="K"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="6"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Package"="n"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin-Priority"="9938433"}}
Explanation: \n\n# \n\nPin: Ea\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="Ea"}}
Explanation: g\n\nExplanation: "zI\n\nPackage: *\n	{"Pref"={"Explanation"="g"}}{"Pref"={"Explanation"=""zI"}}{"Pref"={"Package"="*"}}
Pin: s\n\nPin-Priority: 8\n\nExplanation: \n\nExplanation: \n	{"Pref"={"Pin"="s"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Pin: N\n\nPin: \n\nPackage: *\n	{"Pref"={"Pin"="N"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
# W7k\n\nExplanation: 53GkuEUx5\n\n# G8+\n\n# m\n	{"Pref"={"#comment"="W7k"}}{"Pref"={"Explanation"="53GkuEUx5"}}{"Pref"={"#comment"="G8+"}}{"Pref"={"#comment"="m"}}
Explanation: s=\n	{"Pref"={"Explanation"="s="}}
Package: *\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
Pin-Priority: 63\n\nExplanation: dg\n\nExplanation: \n	{"Pref"={"Pin-Priority"="63"}}{"Pref"={"Explanation"="dg"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 478\n	{"Pref"={"Pin-Priority"="478"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: \n\nExplanation: Z\n\nPackage: n\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="Z"}}{"Pref"={"Package"="n"}}
Explanation: H\n\nPackage: *\n\n# \n\nPackage: \n\nPin: \n\n# \n\n# i\n\nExplanation: :\n	{"Pref"={"Explanation"="H"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="i"}}{"Pref"={"Explanation"=":"}}
Explanation: u\n\n# 30\n	{"Pref"={"Explanation"="u"}}{"Pref"={"#comment"="30"}}
Pin: x\n	{"Pref"={"Pin"="x"}}
Explanation: B/'+\n\nPin: "\n\nPin-Priority: 6482\n\nExplanation: Cd\n\nExplanation: JkFbx\n	{"Pref"={"Explanation"="B/'+"}}{"Pref"={"Pin"="""}}{"Pref"={"Pin-Priority"="6482"}}{"Pref"={"Explanation"="Cd"}}{"Pref"={"Explanation"="JkFbx"}}
Pin-Priority: 298\n	{"Pref"={"Pin-Priority"="298"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: W\n	{"Pref"={"Package"="W"}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
# FbF\n	{"Pref"={"#comment"="FbF"}}
# 1\n\nPin-Priority: 6152\n\nPackage: *\n\nExplanation: \n	{"Pref"={"#comment"="1"}}{"Pref"={"Pin-Priority"="6152"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 74455\n	{"Pref"={"Pin-Priority"="74455"}}
# c\n	{"Pref"={"#comment"="c"}}
Pin: 1\n	{"Pref"={"Pin"="1"}}
Package: GZr\n	{"Pref"={"Package"="GZr"}}
Pin-Priority: 477\n\nPin: \n	{"Pref"={"Pin-Priority"="477"}}{"Pref"={"Pin"=""}}
Pin-Priority: 908\n	{"Pref"={"Pin-Priority"="908"}}
# AoN/TwqwU=NZj\n	{"Pref"={"#comment"="AoN/TwqwU=NZj"}}
Pin: \n\n# OyM\n\nExplanation: Y \n\nPackage: *\n\nPin-Priority: 72\n\nExplanation: \n\nPin-Priority: 80\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="OyM"}}{"Pref"={"Explanation"="Y "}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="72"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="80"}}
Explanation: \n\n# f9\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="f9"}}
Explanation: R\n\n# \n	{"Pref"={"Explanation"="R"}}{"Pref"={"#comment"=""}}
# \n\nExplanation: Z\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="Z"}}
Pin-Priority: 13\n	{"Pref"={"Pin-Priority"="13"}}
Explanation: =\n	{"Pref"={"Explanation"="="}}
Pin: 7j\n\nPin: TAXfC\n\nPin: rZP\n\nPin-Priority: 81136\n\nPin-Priority: 7\n\nPin: \n\nPin-Priority: 2\n\nPackage: *\n\nPin: Oc\n\n# \n	{"Pref"={"Pin"="7j"}}{"Pref"={"Pin"="TAXfC"}}{"Pref"={"Pin"="rZP"}}{"Pref"={"Pin-Priority"="81136"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="Oc"}}{"Pref"={"#comment"=""}}
Pin: 4=\n\nPin: \n\n# \n\nPackage: 1\n\n# 2P\n	{"Pref"={"Pin"="4="}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="1"}}{"Pref"={"#comment"="2P"}}
Pin-Priority: 1\n	{"Pref"={"Pin-Priority"="1"}}
Explanation: wp"A5\n	{"Pref"={"Explanation"="wp"A5"}}
# \n\nPackage: *\n\nExplanation: Z\n\nPackage: \n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="Z"}}{"Pref"={"Package"=""}}
Explanation: \n\nPin: Zl\n\nPin: Oe7Hs6TuH:Usw.\n\nPin: \n\nExplanation: \n\n# w\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="Zl"}}{"Pref"={"Pin"="Oe7Hs6TuH:Usw."}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="w"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: wOu\n\n# \n\nPin-Priority: 1\n\n#  \n\nPin-Priority: 9\n	{"Pref"={"Pin"="wOu"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"#comment"=" "}}{"Pref"={"Pin-Priority"="9"}}
Pin-Priority: 8\n	{"Pref"={"Pin-Priority"="8"}}
Pin-Priority: 497\n\nPin-Priority: 20004\n	{"Pref"={"Pin-Priority"="497"}}{"Pref"={"Pin-Priority"="20004"}}
Package: \n	{"Pref"={"Package"=""}}
# \n	{"Pref"={"#comment"=""}}
Pin-Priority: 56\n\n# BL=30 m\n\nPin-Priority: 673\n\n# f\n\nPin: 6\n\n# 4l\n\nPin-Priority: 2\n	{"Pref"={"Pin-Priority"="56"}}{"Pref"={"#comment"="BL=30 m"}}{"Pref"={"Pin-Priority"="673"}}{"Pref"={"#comment"="f"}}{"Pref"={"Pin"="6"}}{"Pref"={"#comment"="4l"}}{"Pref"={"Pin-Priority"="2"}}
# \n	{"Pref"={"#comment"=""}}
Package: 4ZLbm\n	{"Pref"={"Package"="4ZLbm"}}
Pin-Priority: 233\n\nPackage: *\n\nExplanation: 5K\n	{"Pref"={"Pin-Priority"="233"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="5K"}}
# /\n\n# \n\n# \n\nPackage: *\n\nPackage: N/\n\n# \n\nExplanation: 3wp-\n\nPin-Priority: 0\n	{"Pref"={"#comment"="/"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="N/"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="3wp-"}}{"Pref"={"Pin-Priority"="0"}}
Explanation: 1vC\n\nPin: \n	{"Pref"={"Explanation"="1vC"}}{"Pref"={"Pin"=""}}
Pin: \n\nPackage: \n\n# YJ7\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="YJ7"}}
Pin: j-F\n\nPin: :\n\n# m\n\nPackage: s\n	{"Pref"={"Pin"="j-F"}}{"Pref"={"Pin"=":"}}{"Pref"={"#comment"="m"}}{"Pref"={"Package"="s"}}
